id,name,position,shirt_number,team_id,team_side,substitute,captain,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,good_high_claim,saved_shots_from_inside_the_box,saves,minutes_played,touches,rating,possession_lost_ctrl,rating_original,rating_alternative,goals_prevented,match_id,total_cross,accurate_cross,aerial_lost,duel_lost,duel_won,dispossessed,on_target_scoring_attempt,goals,total_clearance,outfielder_block,interception_won,total_tackle,fouls,expected_goals,expected_assists,aerial_won,was_fouled,shot_off_target,challenge_lost,total_contest,won_contest,big_chance_created,clearance_off_line,key_pass,error_lead_to_a_shot,big_chance_missed,penalty_miss,blocked_scoring_attempt,penalty_save,punches,penalty_conceded,total_offside,total_keeper_sweeper,accurate_keeper_sweeper,hit_woodwork,last_man_tackle,own_goals,penalty_won,error_lead_to_a_goal
136856,Pietro Terracciano,G,1,2692,away,False,False,22.0,16.0,8.0,2.0,0.0,,4.0,5.0,90.0,35.0,7.4,7.0,7.4,7.6,0.5662,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
795297,Lucas Martínez Quarta,D,28,3211,away,False,False,39.0,32.0,5.0,2.0,0.0,,,,60.0,59.0,7.1,10.0,7.1,7.3,,12499262,,,2.0,3.0,6.0,,,,9.0,,1.0,2.0,,0.0106,0.0501666,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,
847467,Marin Pongračić,D,5,2693,away,False,False,43.0,37.0,5.0,3.0,0.0,,,,83.0,53.0,6.5,6.0,6.5,6.2,,12499262,,,,4.0,5.0,,,,4.0,,2.0,1.0,2.0,,0.0050946,3.0,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
1210848,Pietro Comuzzo,D,15,2693,away,False,False,38.0,36.0,3.0,2.0,0.0,,,,73.0,43.0,6.9,2.0,6.9,6.8,,12499262,,,1.0,1.0,,,,,1.0,2.0,1.0,,,,0.00559409,,,,,,,,,,,,,,,,,,,,,,,,
822518,Dodô,M,2,2693,away,False,False,40.0,34.0,1.0,1.0,0.0,,,,90.0,71.0,6.9,19.0,6.9,6.8,,12499262,4.0,,1.0,5.0,5.0,1.0,,,,,,,,0.0228,0.0350449,,2.0,1.0,,6.0,3.0,,,2.0,,,,1.0,,,,,,,,,,,
548178,Rolando Mandragora,M,8,2693,away,False,False,42.0,38.0,4.0,2.0,0.0,,,,73.0,49.0,6.9,5.0,6.9,6.8,,12499262,,,,2.0,2.0,,2.0,,,,,,1.0,0.0672,0.0382737,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,
359272,Sofyan Amrabat,M,4,3052,away,False,False,61.0,51.0,5.0,4.0,0.0,,,,90.0,70.0,6.8,15.0,6.8,6.7,,12499262,3.0,,,4.0,,2.0,,,1.0,1.0,,,2.0,,0.0245932,,,,,,,,,2.0,,,,,,,,,,,,,,,
122848,Cristiano Biraghi,M,3,2696,away,False,True,41.0,34.0,4.0,2.0,0.0,,,,90.0,61.0,7.5,17.0,7.5,7.3,,12499262,12.0,2.0,,1.0,,,2.0,1.0,1.0,,,,,0.0694,0.0499207,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
928122,Andrea Colpani,F,23,2729,away,False,False,20.0,15.0,1.0,,0.0,,,,60.0,33.0,6.5,10.0,6.5,6.7,,12499262,,,,3.0,1.0,1.0,2.0,,3.0,,1.0,,1.0,0.3028,0.0103466,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,
812946,Christian Kouamé,F,99,2693,away,False,False,24.0,18.0,4.0,1.0,0.0,,,,79.0,38.0,6.8,10.0,6.8,6.9,,12499262,,,1.0,5.0,6.0,1.0,,,2.0,,,1.0,2.0,,0.0879981,2.0,2.0,,,3.0,1.0,,,2.0,,,,,,,,1.0,,,,,,,
835601,Moise Kean,F,20,2693,away,False,False,9.0,9.0,,,0.0,,,,90.0,18.0,6.7,4.0,6.7,6.4,,12499262,,,,2.0,2.0,1.0,1.0,,1.0,,,,,0.1634,0.0114417,1.0,1.0,,,1.0,,,,,,,,1.0,,,,4.0,,,,,,,
972886,Fabiano Parisi,D,65,2693,away,True,False,12.0,11.0,2.0,1.0,0.0,,,,30.0,21.0,6.8,3.0,6.8,6.8,,12499262,,,3.0,6.0,5.0,2.0,,,,,,2.0,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
802142,Jonathan Ikoné,M,11,2693,away,True,False,5.0,5.0,,,0.0,,,,30.0,6.0,6.5,,6.5,6.6,,12499262,,,1.0,1.0,,,,,,,,,,0.0142,0.00994321,,,,,,,,,,,,,1.0,,,,,,,,,,,
1137431,Michael Kayode,D,33,50,away,True,False,6.0,5.0,1.0,,0.0,,,,17.0,18.0,7.4,2.0,7.4,7.4,,12499262,,,,,5.0,,,,3.0,1.0,,1.0,,0.1043,,1.0,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,
1101992,Alessandro Bianco,M,42,2693,away,True,False,11.0,9.0,1.0,1.0,0.0,,,,17.0,14.0,6.5,4.0,6.5,6.5,,12499262,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
893640,Riccardo Sottil,F,7,2689,away,True,False,3.0,3.0,,,0.0,,,,11.0,6.0,6.6,2.0,6.6,6.6,,12499262,1.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
69378,David De Gea,G,43,2693,away,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
